序號,據點名稱,行政區,據點地址,電話
250,臺北市南港區中研新村社區發展協會,南港區,"臺北市南港區中研里研究院路2段70巷 47弄4號1樓
臺北市南港區中研里研究院路2段70巷 12號2樓",0986-028209
251,財團法人弘道老人福利基金會,南港區,臺北市南港區中南里市民大道8段588巷 18號,0979-810136
252,臺北市南港區新富里辦公處,南港區,臺北市南港區新富里富康街25號,02-27828495
253,臺北市南港區久如社區發展協會,南港區,臺北市南港區九如里研究院路2段208號 1樓,02-26516600
254,社團法人中華民國我願意全人關懷協會,南港區,臺北市南港區萬福里東新街64巷7、 11、13號B1,02-27826248
255,臺北市南港區好厝邊社區發展協會,南港區,臺北市南港區中研里研究院路2段70巷 12號2樓（中研區民活動中心）,02-27827592
256,社團法人台灣多元社會福利協會 (瀞德),南港區,臺北市南港區西新里成功路1段82巷11號,02-26536103
257,財團法人一粒麥子社會福利慈善事業基金會,萬華區,臺北市萬華區新和里萬大路237巷13弄3號1樓,02-23320669
258,臺北市萬華區華江社區發展協會,萬華區,臺北市萬華區華江里長順街127號(長順區民活動中心),02-23081454
259,臺北市萬華區新忠里辦公處,萬華區,臺北市萬華區新忠里西藏路125巷7號1樓(里民活動場所),02-23392806
260,財團法人環宇國際文化教育基金會(萬華),萬華區,臺北市萬華區錦德里寶興街136號1樓,02-23098844
261,中華民國雙囍老人義務教育推廣協會,萬華區,臺北市萬華區壽德里萬大路411號2樓萬青區民活動中心,02-23317158#18
262,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(雙園靈糧福音中心),萬華區,"臺北市萬華區和德里西園路2段362及 364號4樓,與362號5樓",02-23077700
263,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂(萬華靈糧福音中心),萬華區,臺北市萬華區仁德里桂林路27號1樓及桂林路31號1樓,02-23315658
264,社團法人台北市艾馨公益慈善會,萬華區,臺北市萬華區福音里康定路229號6樓,02-23366516
265,財團法人天主教聖母聖心會,萬華區,臺北市萬華區雙園里興寧街70號,02-23028934
266,臺北市萬華區青年社區發展協會,萬華區,"臺北市萬華區新和里中華路2段416巷9- 3、9-4號(青年社區)
臺北市萬華區新和里青年社區30巷",02-23031537
267,臺北市萬華區馬場町社區發展協會,萬華區,臺北市萬華區騰雲里國興路1巷2-4號 (騰雲里里民活動中心),0983-372223
268,中華民國紅十字會,萬華區,臺北市萬華區糖廍里艋舺大道303號1、 4樓,02-23628232#410
269,臺北市萬華區保德社區發展協會,萬華區,臺北市萬華區保德里東園街140巷8號臺北市萬華區東園街140巷10號,02-23323337
270,臺北市萬華區萬大社區發展協會,萬華區,"臺北市萬華區壽德里萬大路329巷25號1樓
台北市萬華區萬大路329巷27弄4號",02-23090713
271,臺北市和德長壽健康促進協會,萬華區,臺北市萬華區和德里興義街25號,02-23395285
272,臺北市萬華日祥關懷協會,萬華區,臺北市萬華區日祥里青年路186-1號,02-23376359
273,財團法人天主教單國璽弱勢族群社福基金會,萬華區,臺北市萬華區日善里西藏路201號,02-23045899
