"資料集id","資料集編號","資料集名稱","數位發展部服務分類","數位發展部資料集類型","主題分類","資料集描述","主要欄位說明","資料集提供機關(一級) ","資料集提供機關(二級) ","資料集提供機關","上架時間","更新頻率","計費方式","計費說明網址","資料集語系","資料授權","資料集提供機關聯絡人","資料集提供機關聯絡人電話","資料集提供機關聯絡人電子郵件","備註","資料最後更新時間","資料存取網址","檔案格式","編碼格式","資料量"
"ebce1e9e-373e-4550-bfef-10167fb7afee","00029438","台北市政府環境保護局毒性及關注化學物質管理法裁處案件明細","生活安全及品質","原始資料","環保","說明違反毒性及關注化學物質管理法之裁處案件資料","序號、行為人姓名、違反日期、開立日期、違反地點、違反事實、違反法令、罰款金額","環保局","稽查大隊","環保局稽查大隊","2022-07-26T00:00:00","每1年","免費","","中文","公開","呂郁雯","02-25923600#319","ep-ywlu@gov.taipei","","2026-03-17T14:11:28","/api/dataset/ebce1e9e-373e-4550-bfef-10167fb7afee/resource/ce532d16-11db-46c1-ad87-3099178c6753/download","CSV","Big5",""
"b7c56896-4fdc-4b1a-a4ff-fd83b9288f1a","00029519","臺北市政府優秀公務人員國外短期研習","公共資訊","原始資料","統計","本府優秀公務人員國外短期研習","序號、民國年、男生、女生、合計","人事處","","人事處","2022-07-22T00:00:00","每1年","免費","","中文","公開","吳宓柔","02-27208889#7719","bk3843@gov.taipei","","2026-03-17T13:52:17","/api/dataset/b7c56896-4fdc-4b1a-a4ff-fd83b9288f1a/resource/5c71351b-2192-4572-98c8-7442418f86cc/download","CSV","UTF-8",""
"5c5e9e13-9803-47c0-bbd2-1a4b3c11c49b","00000880","臺北市自行車竊盜點位資訊","生活安全及品質","原始資料","治安","臺北市104年1月-115年2月份自行車竊盜點位資訊","編號、案類、發生日期、發生時段、發生地點","警察局","刑警大隊","警察局刑警大隊","2022-01-05T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、搶奪與強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（104~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。
","2026-03-17T11:45:41","/api/dataset/5c5e9e13-9803-47c0-bbd2-1a4b3c11c49b/resource/adf80a2b-b29d-4fca-888c-bcd26ae314e0/download","CSV","Big5",""
"68785231-d6c5-47a1-b001-77eec70bec02","00000855","臺北市住宅竊盜點位資訊","生活安全及品質","原始資料","治安","臺北市104年1月-115年2月份住宅竊盜點位資訊","編號、案類、發生日期、發生時段、發生地點","警察局","刑警大隊","警察局刑警大隊","2022-01-05T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、搶奪與強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（104~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。
3.所公布之住宅竊盜案件不含同屋行竊類型案件。","2026-03-17T11:45:33","/api/dataset/68785231-d6c5-47a1-b001-77eec70bec02/resource/93d9bc2d-af08-4db7-a56b-9f0a49226fa3/download","CSV","Big5",""
"f87ad53e-79c7-48c4-aec4-f0fd8f99bfb2","00001649","臺北市汽車竊盜點位資訊","生活安全及品質","原始資料","治安","臺北市104年1月-115年2月份汽車竊盜點位資訊","編號、案類、發生日期、發生時段、發生地點","警察局","刑警大隊","警察局刑警大隊","2022-01-05T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、搶奪與強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（104~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。
","2026-03-17T11:45:30","/api/dataset/f87ad53e-79c7-48c4-aec4-f0fd8f99bfb2/resource/967faed7-ea9b-4698-970a-d335d5e4ccc3/download","CSV","Big5",""
"3a0e2289-a605-4eac-af30-f4af613f456d","00001691","臺北市機車竊盜點位資訊","生活安全及品質","原始資料","治安","臺北市107年1月-115年2月份機車竊盜點位資訊","編號、案類、發生日期、發生時段、發生地點","警察局","刑警大隊","警察局刑警大隊","2022-01-06T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、搶奪與強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（104~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。","2026-03-17T11:45:27","/api/dataset/3a0e2289-a605-4eac-af30-f4af613f456d/resource/ac508aeb-9f26-409c-9fb0-20c65a973498/download","CSV","Big5",""
"ea2819ff-c869-480e-b7a9-2e5f7906a696","00001692","臺北市街頭隨機強盜案件點位資訊","生活安全及品質","原始資料","治安","臺北市107年1月-115年2月份街頭隨機強盜案件點位資訊","編號、案類、發生日期、發生時段、發生地點、備註","警察局","刑警大隊","警察局刑警大隊","2022-03-07T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、街頭隨機搶奪與街頭隨機強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（107~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。
","2026-03-17T11:45:25","/api/dataset/ea2819ff-c869-480e-b7a9-2e5f7906a696/resource/37b75aab-e504-413a-911d-987651aacbfb/download","CSV","Big5",""
"404ca667-bcc4-4f3b-9217-fdcc1da400b2","00001693","臺北市街頭隨機搶奪案件點位資訊","生活安全及品質","原始資料","治安","臺北市107年1月-115年2月份街頭隨機搶奪案件點位資訊","編號、案類、發生日期、發生時段、發生地點、備註","警察局","刑警大隊","警察局刑警大隊","2022-03-07T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","1.有關本次公開住宅竊盜、汽車竊盜、自行車竊盜、機車竊盜、街頭隨機搶奪與街頭隨機強盜等六種案類犯罪資料庫，開放資料因審酌不違反「個人資料保護法」、「政府資訊公開法」等相關規定，去除足以辨識民眾個資，僅提供案類、發生(現)日期 、發生時段、發生地點資料庫欄位(地址預先進行模糊處理)。
2.有關臺北市政府警察局首頁資訊公開臺北市各類刑案發破數據，因「他轄破本轄件數」暨「補報發生件數」非本（107~110）年度之件數，數據誤差甚大且隨時變動，補充敘明。
","2026-03-17T11:45:18","/api/dataset/404ca667-bcc4-4f3b-9217-fdcc1da400b2/resource/6ecb4c41-fbc9-4b04-b182-a7da6c780f8d/download","CSV","Big5",""
"5af19dde-41fe-4ce4-b0fe-c27e7aed095a","00004115","臺北市政府警察局治安顧慮人口數量統計表","生活安全及品質","原始資料","治安","臺北市政府警察局111年迄今治安顧慮人口數量統計表","年度及月份、總數、妨害自由罪總數、妨害性自主罪總數、受毒品戒治人罪總數、放火罪總數、毒品犯罪總數、恐嚇取財罪總數、強盜罪總數、殺人罪總數、組織犯罪總數、詐欺罪總數、搶奪罪總數、槍砲彈藥罪總數、擄人勒贖罪總數、竊盜罪總數","警察局","刑警大隊","警察局刑警大隊","2022-01-01T00:00:00","不定期更新","免費","","中文","公開","陳勇行","02-23700693","owenchen@tcpd.gov.tw","","2026-03-17T11:45:16","/api/dataset/5af19dde-41fe-4ce4-b0fe-c27e7aed095a/resource/1da27a3b-d2cd-40f4-b317-0e8240b3c406/download","CSV","big5",""
"428a78d5-867a-4e55-9630-040a89c8cd94","00029986","臺北市可執行通訊心理諮商之心理機構","公共資訊","原始資料","醫療","臺北市可執行通訊心理諮商業務之心理治療所、諮商所及基金會。","序號、機構類型、行政區、機構名稱、地址、電話、分機、手機","衛生局","","衛生局","2023-02-02T00:00:00","不定期更新","免費","","中文","公開","劉孝齊","02-27208889#1889","bp2042@gov.taipei","","2026-03-17T10:36:55","/api/dataset/428a78d5-867a-4e55-9630-040a89c8cd94/resource/1ad65a1e-3e4b-4749-8d02-9a9bdc120e95/download","CSV","Big5",""
"cd050577-115f-4299-b37a-012ff490a632","00001120","臺北市AED自動體外心臟去顫器設置地點","公共資訊","原始資料","醫療","北市AED自動體外心臟去顫器放置地點","縣市別代碼、場所名稱、場所地址、行政區域代碼、緯度、經度、場所分類、場所類型、AED放置地點、AED地點描述","衛生局","","衛生局","2020-05-04T00:00:00","每1月","免費","","中文","公開","劉芙蓉","02-27208889#7099","Bx6010@gov.taipei","","2026-03-17T09:50:50","/api/dataset/cd050577-115f-4299-b37a-012ff490a632/resource/438c61ad-24f6-4e54-a1cc-e2cfe0e7051e/download","CSV","UTF-8",""
"a846fd02-a054-4206-b584-70dea8ad3a25","00000260","臺北市居家護理所","就醫","原始資料","醫療","臺北市居家護理機構。","序號、縣市別代碼、機構名稱、地址、電話","衛生局","","衛生局","2013-06-10T00:00:00","不定期更新","免費","","中文","公開","王怡婷","02-27208889#7085","sophia6122@gov.taipei","","2026-03-17T09:47:47","/api/dataset/a846fd02-a054-4206-b584-70dea8ad3a25/resource/0928ca51-3cb3-4603-a850-3045f0ba5c92/download","CSV","Big5",""
"ee6c8acd-9a5f-4551-9686-88bf98f3541c","00001128","臺北市精神科診所","就醫","原始資料","醫療","臺北市精神科診所。","序號、行政區域代碼、診所名稱、地址、電話","衛生局","","衛生局","2020-05-04T00:00:00","不定期更新","免費","","中文","公開","吳美芳","02-27208889#2540","tk1242@gov.taipei","","2026-03-17T09:37:19","/api/dataset/ee6c8acd-9a5f-4551-9686-88bf98f3541c/resource/4ab4665d-e17b-4ec7-9189-c49e8564f955/download","CSV","UTF-8",""
"0db13d34-51e3-497a-a023-286d5ef692ea","00001689","臺北市流感疫苗合約醫療院所(成人)","就醫","原始資料","醫療","臺北市流感疫苗合約醫療院所名冊(成人)
","序號、行政區域代碼、院所名稱、地址、電話","衛生局","","衛生局","2019-11-06T00:00:00","不定期更新","免費","","中文","公開","黃彥淵","02-23759800#1927","ff8241@gov.taipei","","2026-03-17T08:54:15","/api/dataset/0db13d34-51e3-497a-a023-286d5ef692ea/resource/4c6c37f9-ebb5-4672-b33c-6812b853e8e0/download","CSV","UTF-8",""
"852f6c10-dbe7-445f-9419-816dab3d615d","00002719","臺北市藥物檢查暨查獲違法情形","公共資訊","原始資料","醫療","臺北市藥物檢查暨查獲違法情形。","年度、月、藥物檢查家次數、不法藥品查獲數、不良醫療器材及不法醫療器材查獲數、藥品標示稽查數、醫療器材標示稽查數、非正規場所不法藥物、非正規場所酒精藥品","衛生局","","衛生局","2022-03-10T00:00:00","不定期更新","免費","","中文","公開","鄭慶浩","02-27208889#7077","a64058@gov.taipei","","2026-03-17T08:49:20","/api/dataset/852f6c10-dbe7-445f-9419-816dab3d615d/resource/888ecd91-61e3-4a66-b9e0-36f787fe6b8b/download,/api/dataset/852f6c10-dbe7-445f-9419-816dab3d615d/resource/c1c115b1-3cc1-4781-924a-21f83f7c9aad/download","CSV,CSV","Big5,Big5","0"
"dc4e7a4c-7611-4419-aa92-8ba7e28fa090","00033958","臺北市孔洞檢測清單","公共資訊","原始資料","交通","台北新工處_道路孔洞檢測清單","項次、年度、孔洞代碼、縣市別、行政區、路名、緯度、經度、孔洞位置（M）、孔洞長度（M）、孔洞寬度（M）、危險程度、檢測日期、提送日期、鑽心日期、鑽心結果、開挖日期、開挖結果","工務局","新工處","工務局新工處","2025-07-07T00:00:00","不定期更新","免費","","中文","公開","黃冠學","02-27208889#8226","az9490@gov.taipei","","2026-03-17T08:35:28","/api/dataset/dc4e7a4c-7611-4419-aa92-8ba7e28fa090/resource/ae7b1fa8-3f98-4dde-8075-8114ae3b8f06/download","CSV","UTF-8","0"
"61ff4b3a-8a8a-47e4-96ec-e180b2abbfdb","00000190","臺北市立動物園_行事曆","休閒旅遊","原始資料","觀光","本資料集提供臺北市立動物園之園區活動行事曆，包含文字簡介、圖片、網站連結及座標等資訊。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍)","類別、標題、摘要說明、簡介、起始日期、結束日期、時間、地點、WGS84座標系統(WKT格式)、上架日期、下架日期、關鍵字、圖片說明、圖片URL、網頁URL位址、地標、資料更新日期","教育局","動物園","教育局動物園","2014-04-15T00:00:00","每1年","免費","","中文","公開","張珮詩","02-29382300#510","au1533@gov.taipei","本資料集提供愛台北市政雲服務「愛遊動物園」單元介接使用。","2026-03-16T16:54:41","/api/dataset/61ff4b3a-8a8a-47e4-96ec-e180b2abbfdb/resource/45c9007d-cb50-4f74-bc87-519fcd00758d/download","CSV","UTF-8",""
"d24839f3-bcc9-4b79-af19-5e42c73352c2","00002699","臺北市環境檢驗樣品分類統計","生活安全及品質","原始資料","統計","臺北市政府環保局環境檢驗樣品分類統計表 ","年、月、統計類別、固定污染源數值、移動污染源數值、周界空氣數值、事業廢水數值、地面水體數值、地下水及山泉水數值、飲用水數值、廢棄物數值、毒性及關注化學物質數值、環境用藥數值、噪音振動數值、土壤數值、其他數值","環保局","","環保局","2020-10-31T00:00:00","每3月","免費","","中文","公開","徐玟瑜","02-28236160","la_yuhsu@gov.taipei","","2026-03-16T16:42:43","/api/dataset/d24839f3-bcc9-4b79-af19-5e42c73352c2/resource/f04002c1-8d81-4e41-8832-d149a247a311/download","CSV","Big5",""
"53a95a86-69ae-4239-86c0-66e89d144543","00003057","臺北市精神科醫療機構","就醫","原始資料","醫療","有關臺北市精神科醫療機構資料。","序號、機構名稱、郵遞區號、地址、電話","衛生局","","衛生局","2020-11-25T00:00:00","每1年","免費","","中文","公開","侯惠文","02-27208889#7109","bv2837@gov.taipei","","2026-03-16T16:23:01","/api/dataset/53a95a86-69ae-4239-86c0-66e89d144543/resource/439043d5-2331-433c-881f-38e0a256cd88/download","CSV","Big5",""
"2ffa97d9-1e21-47e1-a58e-0bbea02f2e5c","00003131","臺北市公私立醫院診療科別","就醫","原始資料","醫療","臺北市公私立醫院診療科別。","機構名稱、地址、電話、家庭醫學科門診、內科門診、外科門診、整形外科門診、兒科門診、婦產科門診、骨科門診、泌尿科門診、耳鼻喉科、眼科、皮膚科、精神科、神經科、神經外科、復健科、麻醉科、放射診斷科、放射腫瘤科、解剖病理科、臨床病理科、核子醫學科、急診醫學科、職業醫學科、西醫一般科、牙髓病科、牙周病科、齒顎矯正科、兒童牙科、口腔顎面外科、口腔病理科、復補綴牙科、家庭牙醫科、牙體復形科、特殊需求者口腔醫學科、牙醫一般科、中醫一般科","衛生局","","衛生局","2020-11-26T00:00:00","不定期更新","免費","","中文","公開","楊佩欣","02-27208889#7080","bz1087@gov.taipei","","2026-03-16T16:20:27","/api/dataset/2ffa97d9-1e21-47e1-a58e-0bbea02f2e5c/resource/417d8412-376a-4184-bba8-b4916269793c/download","CSV","Big5",""
"051c349f-ed40-436f-8f9a-37b7f90af71b","00003128","臺北市公私立醫院血液透析資源","就醫","原始資料","醫療","有關臺北市公私立醫院血液透析資源資料。","項次、機構名稱、行政區域代碼、地址、電話","衛生局","","衛生局","2020-11-26T00:00:00","不定期更新","免費","","中文","公開","楊佩欣","02-27208889#7080","bz1087@gov.taipei","","2026-03-16T16:03:40","/api/dataset/051c349f-ed40-436f-8f9a-37b7f90af71b/resource/51d9ee74-e8d9-4dba-9437-b52e39878b59/download","CSV","Big5",""
"b9ee27eb-17a7-43c7-84af-4ede52d40eaa","00003126","臺北市公私立醫院呼吸照護資源","就醫","原始資料","醫療","有關臺北市公私立醫院呼吸照護資源資料。","序號、行政區域代碼、機構名稱、地址、電話","衛生局","","衛生局","2020-11-26T00:00:00","不定期更新","免費","","中文","公開","楊佩欣","02-27208889#7080","bz1087@gov.taipei","","2026-03-16T15:52:49","/api/dataset/b9ee27eb-17a7-43c7-84af-4ede52d40eaa/resource/e1723030-66f8-469d-8cfa-6b11027fc7b5/download","CSV","Big5",""
"5a7258c2-5ded-4149-8664-ae10903fe372","00029292","臺北市公園無障礙出入口點位","生活安全及品質","原始資料","資訊","臺北市政府工務局公園路燈工程管理處所轄公園無障礙出入口點位資料","ID、行政區、公園名稱、無障礙出入口名稱、TW97座標X、TW97座標Y、人行道寬度(最小淨寬，公尺)、坡度(%)","工務局","公園處","工務局公園處","2022-04-21T00:00:00","不定期更新","免費","","中文","公開"," 倪仲儀","02-23032451#28","db-12960@gov.taipei","","2026-03-16T11:49:32","/api/dataset/5a7258c2-5ded-4149-8664-ae10903fe372/resource/70defec1-fd51-471b-89fa-5c7636150e6a/download","CSV","Big5",""
"dc576d01-78d4-4660-bbcf-5f90f72d4a31","00001471","臺北市污水下水道新建改善工程統計","公共資訊","原始資料","統計","臺北市污水下水道新建改善工程統計月報(CSV)","工程名稱、預算年度、工程費新臺幣千元、開工年月、預定完工年月、預定進度百分比、實際進度百分比","工務局","衛工處","工務局衛工處","2020-07-01T00:00:00","每1月","免費","","中文","公開","洪麗萍","02-25973183#524","ax0351@gov.taipei","","2026-03-16T11:44:47","/api/dataset/dc576d01-78d4-4660-bbcf-5f90f72d4a31/resource/4a796d19-e6a7-4e70-baac-0f62e81da042/download","CSV","UTF-8","0"
"89e4e1e3-b174-4b67-9073-7eb273e4f711","00029544","臺北市公共管線圖資_一般電信系統管線","生活安全及品質","原始資料","工務","提供臺北市一般電信系統管線圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構；配合資料大小切割為4個檔案，如需應用請全部下載。","geometry、類別碼、識別碼、起點編號、終點編號、管理單位、作業區分、設置日期、管線編號、尺寸單位、管徑寬度、管徑高度、涵管條數、管線材料、起點埋設深度、終點埋設深度、管線長度、管線型態、使用狀態、資料狀態、備註","工務局","","工務局","2022-08-01T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構；配合資料大小切割為4個檔案，如需應用請全部下載。","2026-03-16T11:38:03","/api/dataset/89e4e1e3-b174-4b67-9073-7eb273e4f711/resource/04f0c092-4580-4e4e-afd9-9c1ec364bbb4/download,/api/dataset/89e4e1e3-b174-4b67-9073-7eb273e4f711/resource/ffef3e3b-83d0-4d64-a661-26f015dcb239/download,/api/dataset/89e4e1e3-b174-4b67-9073-7eb273e4f711/resource/1f685ec9-9e71-4442-b5f7-5b5750608569/download,/api/dataset/89e4e1e3-b174-4b67-9073-7eb273e4f711/resource/c7a696c2-70fd-40c6-bb51-1ab7dc677719/download","XML,XML,XML,XML","UTF-8,UTF-8,UTF-8,UTF-8","0"
"946bdf64-1515-4d32-8ad2-7fd5ce492d28","00004019","臺北市公共管線圖資_一般電信系統人手孔","生活安全及品質","原始資料","工務","提供臺北市一般電信系統人手孔圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、人手孔編號、孔蓋種類、尺寸單位、蓋部寬度、蓋部長度、閘門名稱、地盤高、孔深、孔蓋型態、使用狀態、資料狀態、內容物、備註","工務局","","工務局","2021-10-26T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:58","/api/dataset/946bdf64-1515-4d32-8ad2-7fd5ce492d28/resource/58a0fb08-5d97-4456-8f3e-5078d39469b6/download","XML","UTF-8",""
"35a72367-eb2e-4bc1-a66b-fe855457a5d8","00004020","臺北市公共管線圖資_一般電信系統電桿","生活安全及品質","原始資料","工務","提供臺北市一般電信系統電桿圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、電桿編號、長度、材質、使用狀態、資料狀態、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:56","/api/dataset/35a72367-eb2e-4bc1-a66b-fe855457a5d8/resource/ffe47bc4-5c0a-4b55-bf68-11ccf9affea6/download","XML","UTF-8",""
"9557a843-5c9b-49b3-980c-889c10a32f70","00004021","臺北市公共管線圖資_一般電信系統其他設施","生活安全及品質","原始資料","工務","提供臺北市一般電信系統其他設施圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、設施編號、設施名稱、設施長度、設施寬度、設施高度、設施型態、使用狀態、資料狀態、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:53","/api/dataset/9557a843-5c9b-49b3-980c-889c10a32f70/resource/b252ca30-01bf-41bd-bc9a-6b32aa5b06c1/download","XML","UTF-8",""
"a0fbe437-f457-4873-9278-7bd61471ac47","00029546","臺北市公共管線圖資_警訊系統管線","生活安全及品質","原始資料","工務","提供臺北市警訊系統管線圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、起點編號、終點編號、管理單位、作業區分、設置日期、管線編號、尺寸單位、管徑寬度、管徑高度、涵管條數、管線材料、起點埋設深度、終點埋設深度、管線長度、管線型態、使用狀態、資料狀態、備註","工務局","","工務局","2022-08-01T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:51","/api/dataset/a0fbe437-f457-4873-9278-7bd61471ac47/resource/bc6606f8-f84b-48e8-9b8b-f8b92765f8c4/download","XML","UTF-8",""
"3b78ff1c-fa3c-4878-a18e-5e3249f55a5a","00004022","臺北市公共管線圖資_警訊系統人手孔","生活安全及品質","原始資料","工務","提供臺北市警訊系統人手孔圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、人手孔編號、孔蓋種類、尺寸單位、蓋部寬度、蓋部長度、閘門名稱、地盤高、孔深、孔蓋型態、使用狀態、資料狀態、內容物、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:50","/api/dataset/3b78ff1c-fa3c-4878-a18e-5e3249f55a5a/resource/8a73d0f6-8040-4829-a775-e40de6d219e1/download","XML","UTF-8",""
"0c01a7da-c332-496d-a5d9-a6c57287183e","00004023","臺北市公共管線圖資_警訊系統電桿","生活安全及品質","原始資料","工務","提供臺北市警訊系統電桿圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、電桿編號、長度、材質、使用狀態、資料狀態、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:48","/api/dataset/0c01a7da-c332-496d-a5d9-a6c57287183e/resource/73800621-8ead-4767-b977-316122a9ea8e/download","XML","UTF-8",""
"e71017c8-8706-40e7-b230-283f274c468f","00004024","臺北市公共管線圖資_警訊系統其他設施","生活安全及品質","原始資料","工務","提供臺北市警訊系統其他設施圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、設施編號、設施名稱、設施長度、設施寬度、設施高度、設施型態、使用狀態、資料狀態、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:46","/api/dataset/e71017c8-8706-40e7-b230-283f274c468f/resource/bc0daadc-695b-455a-a6d5-71eda2c1da6a/download","XML","UTF-8",""
"f0bddd58-5c15-45ac-8f3a-bcc66a6d2f7f","00029573","臺北市公共管線圖資_有線電視系統管線","生活安全及品質","原始資料","工務","提供臺北市有線電視系統管線圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、起點編號、終點編號、管理單位、作業區分、設置日期、管線編號、尺寸單位、管徑寬度、管徑高度、涵管條數、管線材料、起點埋設深度、終點埋設深度、管線長度、管線型態、使用狀態、資料狀態、備註","工務局","","工務局","2022-08-01T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:44","/api/dataset/f0bddd58-5c15-45ac-8f3a-bcc66a6d2f7f/resource/1d2e03ab-c363-4965-a108-b8e9ae93c038/download","XML","UTF-8",""
"a7a59733-4f39-42ed-b94a-c2d386080baf","00004025","臺北市公共管線圖資_有線電視系統人手孔","生活安全及品質","原始資料","工務","提供臺北市有線電視系統人手孔圖資，其圖資僅供參考，確切圖資仍請洽詢相關管線機構。","geometry、類別碼、識別碼、管理單位、作業區分、設置日期、人手孔編號、孔蓋種類、尺寸單位、蓋部寬度、蓋部長度、閘門名稱、地盤高、孔深、孔蓋型態、使用狀態、資料狀態、內容物、備註","工務局","","工務局","2021-10-27T00:00:00","不定期更新","免費","","中文","公開","林暉峰","02-89788900#8205","cz_sctcsc@gov.taipei","管線圖資僅供參考，確切圖資仍請洽詢相關管線機構。","2026-03-16T11:37:38","/api/dataset/a7a59733-4f39-42ed-b94a-c2d386080baf/resource/5fe91779-7c07-4131-a83a-3bf1e1b9f4ac/download","XML","UTF-8",""
